Asset Tag,Asset Type,Asset Type Description,Site,Location,Serial No,Manufacturer,Model,Category,Category,Category,Category,Category,Category,Category,Category,Grade,Grade,Grade,Grade,Physics,Chemistry,Biology,Science,Math
1131,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1132,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1133,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1134,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1135,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1136,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1137,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DVP-BTA,,,,,,,,,,,,,,,,,
1138,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1139,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1140,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1141,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1142,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1143,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1144,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1145,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
